activation_name,capa_1,capa_2,capa_3,alpha,accuracy,precision,recall_score,f1
sigmoid,50,,,0.0001,0.1946,0.2030,0.1605,0.1188
sigmoid,50,,,0.0010,0.8384,0.8450,0.8395,0.8366
sigmoid,50,,,0.0100,0.9864,0.9867,0.9863,0.9862
sigmoid,50,,,0.1000,0.9833,0.9854,0.9849,0.9849
sigmoid,50,,,0.1500,0.9877,0.9880,0.9877,0.9877
sigmoid,50,100.0000,,0.0001,0.0914,0.0903,0.0658,0.0226
sigmoid,50,100.0000,,0.0010,0.6273,0.6719,0.6269,0.6163
sigmoid,50,100.0000,,0.0100,0.9635,0.9679,0.9657,0.9658
sigmoid,50,100.0000,,0.1000,0.9650,0.9702,0.9684,0.9686
sigmoid,50,100.0000,,0.1500,0.9787,0.9813,0.9808,0.9808
sigmoid,200,100.0000,,0.0001,0.1564,0.1631,0.1235,0.0884
sigmoid,200,100.0000,,0.0010,0.8751,0.8823,0.8711,0.8714
sigmoid,200,100.0000,,0.0100,0.9743,0.9763,0.9753,0.9754
sigmoid,200,100.0000,,0.1000,0.9780,0.9795,0.9781,0.9782
sigmoid,200,100.0000,,0.1500,0.9831,0.9845,0.9835,0.9836
sigmoid,50,100.0000,200.0000,0.0001,0.0694,0.0114,0.0494,0.0143
sigmoid,50,100.0000,200.0000,0.0010,0.5109,0.5602,0.5130,0.4861
sigmoid,50,100.0000,200.0000,0.0100,0.9236,0.9328,0.9300,0.9301
sigmoid,50,100.0000,200.0000,0.1000,0.9678,0.9682,0.9671,0.9671
sigmoid,50,100.0000,200.0000,0.1500,0.9724,0.9735,0.9726,0.9725
sigmoid,200,100.0000,50.0000,0.0001,0.0437,0.0018,0.0302,0.0034
sigmoid,200,100.0000,50.0000,0.0010,0.4158,0.4242,0.3992,0.3422
sigmoid,200,100.0000,50.0000,0.0100,0.9329,0.9410,0.9383,0.9386
sigmoid,200,100.0000,50.0000,0.1000,0.9743,0.9749,0.9739,0.9738
sigmoid,200,100.0000,50.0000,0.1500,0.9791,0.9799,0.9794,0.9794
tanh,50,,,0.0001,0.6768,0.7084,0.6831,0.6759
tanh,50,,,0.0010,0.9806,0.9803,0.9794,0.9794
tanh,50,,,0.0100,0.9841,0.9856,0.9849,0.9849
tanh,50,,,0.1000,0.8027,0.8291,0.7984,0.7960
tanh,50,,,0.1500,0.3235,0.4398,0.3018,0.2663
tanh,50,100.0000,,0.0001,0.8424,0.8549,0.8464,0.8467
tanh,50,100.0000,,0.0010,0.9764,0.9787,0.9781,0.9780
tanh,50,100.0000,,0.0100,0.9771,0.9815,0.9808,0.9808
tanh,50,100.0000,,0.1000,0.0417,0.0008,0.0288,0.0016
tanh,50,100.0000,,0.1500,0.0417,0.0008,0.0288,0.0016
tanh,200,100.0000,,0.0001,0.9129,0.9193,0.9150,0.9155
tanh,200,100.0000,,0.0010,0.9798,0.9817,0.9808,0.9808
tanh,200,100.0000,,0.0100,0.9837,0.9858,0.9849,0.9849
tanh,200,100.0000,,0.1000,0.0417,0.0008,0.0288,0.0016
tanh,200,100.0000,,0.1500,0.0417,0.0008,0.0288,0.0016
tanh,50,100.0000,200.0000,0.0001,0.9281,0.9323,0.9300,0.9300
